"ano","codigo_da_ies","nome_da_ies","sigla_da_ies","organizacao_academica","categoria_administrativa","sigla_da_uf","no_de_cursos_com_cpc_no_trienio","alfa_.proporcao_de_graduacao.","conceito_medio_de_graduacao","beta_.proporcao_de_mestrado_equivalente.","conceito_medio_de_mestrado","gama_.proporcao_de_doutorandos_._equivalente.","conceito_medio_do_doutorado","igc_.continuo.","igc_.faixa.","entidade_beneficiente_de_assistencia_social_.cebas."
"2023",4157,"FACULDADE METROPOLITANA DE RIO DO SUL","FAMESUL","Faculdade","Privada com fins lucrativos","SC",1,1,1.837,0,0,0,0,1.837,"2","-"
"2023",4163,"CENTRO UNIVERSITÁRIO BARRIGA VERDE","UNIBAVE","Centro Universitário","Comunitária/Confessional","SC",14,1,2.442,0,0,0,0,2.442,"3","X"
"2023",4294,"FACULDADE SENAC JARAGUÁ DO SUL","","Faculdade","Privada sem fins lucrativos","SC",1,1,2.731,0,0,0,0,2.731,"3","-"
"2023",4495,"FACULDADE ANHANGUERA JARAGUÁ DO SUL","","Faculdade","Privada com fins lucrativos","SC",2,1,2.773,0,0,0,0,2.773,"3","-"
"2023",4518,"FACULDADE REGIONAL PALMITOS","FAP","Faculdade","Privada com fins lucrativos","SC",1,1,1.791,0,0,0,0,1.791,"2","-"
"2023",4756,"CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ","USJ","Centro Universitário","Pública Municipal","SC",2,1,2.407,0,0,0,0,2.407,"3","-"
"2023",5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE","IF Catarinense","Instituto Federal de Educação, Ciência e Tecnologia","Pública Federal","SC",39,0.907,3.324,0.093,4.246,0,0,3.41,"4","-"
"2023",5131,"FACULDADE SENAC CAÇADOR","SENAC","Faculdade","Privada sem fins lucrativos","SC",3,1,2.257,0,0,0,0,2.257,"3","-"
"2023",5133,"FACULDADE SENAC SÃO MIGUEL DO OESTE","","Faculdade","Privada sem fins lucrativos","SC",1,1,3.024,0,0,0,0,3.024,"4","-"
"2023",5318,"FACULDADE GUILHERME GUIMBALA","FGG","Faculdade","Privada sem fins lucrativos","SC",4,1,2.332,0,0,0,0,2.332,"3","-"
"2023",5668,"FACULDADE ANHANGUERA DE JOINVILLE","","Faculdade","Privada com fins lucrativos","SC",15,1,2.829,0,0,0,0,2.829,"3","-"
"2023",5706,"FACULDADE MUNICIPAL DE PALHOÇA","FMP","Faculdade","Pública Municipal","SC",2,1,2.893,0,0,0,0,2.893,"3","-"
"2023",11604,"FACULDADE SANTA RITA DE CHAPECÓ","","Faculdade","Privada sem fins lucrativos","SC",3,1,2.734,0,0,0,0,2.734,"3","-"
"2023",13717,"FACULDADES DO VALE DO ARARANGUA - FVA","FVA","Faculdade","Privada com fins lucrativos","SC",2,1,2.944,0,0,0,0,2.944,"3","-"
"2023",14097,"FACULDADE REFIDIM","Refidim","Faculdade","Privada sem fins lucrativos","SC",1,1,3.365,0,0,0,0,3.365,"4","-"
"2023",14288,"FACULDADE CATÓLICA DE SANTA CATARINA","FACASC","Faculdade","Comunitária/Confessional","SC",1,1,3.559,0,0,0,0,3.559,"4","-"
"2023",15032,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE","UNIARP","Universidade","Privada sem fins lucrativos","SC",24,0.893,3.143,0.107,4.5,0,0,3.288,"4","X"
"2023",15121,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","UFFS","Universidade","Pública Federal","SC",36,0.83,3.515,0.163,4.309,0.007,4.5,3.651,"4","-"
"2023",17138,"Centro Universitário - Católica de Santa Catarina em Joinville","Católica em Joinvile","Centro Universitário","Comunitária/Confessional","SC",11,1,3.118,0,0,0,0,3.118,"4","-"
"2023",17277,"Faculdade  SENAC Criciúma","Senac Criciúma","Faculdade","Privada sem fins lucrativos","SC",4,1,2.064,0,0,0,0,2.064,"3","-"
"2023",17777,"FACULDADE SENAC CONCÓRDIA","","Faculdade","Privada sem fins lucrativos","SC",2,1,2.735,0,0,0,0,2.735,"3","-"
"2023",19632,"FACULDADE DAMA","","Faculdade","Privada com fins lucrativos","SC",1,1,2.511,0,0,0,0,2.511,"3","-"
"2023",22191,"Faculdade Estácio de Jaraguá do Sul","Estácio Jaraguá","Faculdade","Privada com fins lucrativos","SC",1,1,2.732,0,0,0,0,2.732,"3","-"
"2023",22578,"FACULDADE CENSUPEG","","Faculdade","Privada com fins lucrativos","SC",2,1,2.407,0,0,0,0,2.407,"3","-"
"2023",22736,"Faculdade UNISUL de Itajaí","","Faculdade","Privada com fins lucrativos","SC",4,1,2.583,0,0,0,0,2.583,"3","-"
"2023",23095,"Instituto SOCIESC de Jaraguá do Sul","SOCIESC","Faculdade","Privada com fins lucrativos","SC",1,1,2.659,0,0,0,0,2.659,"3","-"
"2023",23201,"Instituto de Educação Superior UNISUL de Itajaí","","Faculdade","Privada com fins lucrativos","SC",1,1,2.823,0,0,0,0,2.823,"3","-"
"2023",23202,"Faculdade SOCIESC de Educação de São Bento do Sul","","Faculdade","Privada com fins lucrativos","SC",1,1,2.727,0,0,0,0,2.727,"3","-"
"2023",23358,"Centro de Ensino Superior SOCIESC de Jaraguá do Sul","","Faculdade","Privada com fins lucrativos","SC",1,1,2.389,0,0,0,0,2.389,"3","-"
