ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,sigla_da_uf,no_de_cursos_com_cpc_no_trienio,alfa_(proporcao_de_graduacao),conceito_medio_de_graduacao,beta_(proporcao_de_mestrado_equivalente),conceito_medio_de_mestrado,gama_(proporcao_de_doutorandos_-_equivalente),conceito_medio_do_doutorado,igc_(continuo),igc_(faixa),(observacao),entidade_beneficiente_de_assistencia_social_(cebas)
2022,2189,FACULDADE DO MARANHÃO,FACAM-MA,Faculdade,Privada com fins lucrativos,MA,16,1.0,2.376,0.0,0.0,0.0,0.0,2.376,3,1,-
2022,2191,FACULDADE ANHANGUERA DE PELOTAS,0,Faculdade,Privada com fins lucrativos,RS,10,1.0,2.6426,0.0,0.0,0.0,0.0,2.6426,3,1,-
2022,2192,INSTITUTO SUPERIOR DE EDUCAÇÃO IVOTI,ISEI,Faculdade,Privada sem fins lucrativos,RS,2,1.0,3.2561,0.0,0.0,0.0,0.0,3.2561,4,1,X
2022,2194,FACULDADE ANHANGUERA DO RIO GRANDE,0,Faculdade,Privada com fins lucrativos,RS,9,1.0,2.5071,0.0,0.0,0.0,0.0,2.5071,3,1,-
2022,2198,FACULDADE MONTEIRO LOBATO,FATO,Faculdade,Privada sem fins lucrativos,RS,1,1.0,1.2964,0.0,0.0,0.0,0.0,1.2964,2,1,-
2022,2200,FACULDADE VALE DO GORUTUBA,FAVAG,Faculdade,Privada com fins lucrativos,MG,6,1.0,2.1263,0.0,0.0,0.0,0.0,2.1263,3,1,-
2022,2202,INSTITUTO SUPERIOR DE EDUCAÇÃO DE GUARATUBA,ISEPE Guaratuba,Faculdade,Privada com fins lucrativos,PR,1,1.0,2.7931,0.0,0.0,0.0,0.0,2.7931,3,1,-
2022,2205,Faculdade REGES de Tupi Paulista,-,Faculdade,Privada sem fins lucrativos,SP,2,1.0,2.8695,0.0,0.0,0.0,0.0,2.8695,3,1,-
2022,2220,Faculdade Doctum de Juiz de Fora,DOCTUM,Faculdade,Privada sem fins lucrativos,MG,7,1.0,2.8098,0.0,0.0,0.0,0.0,2.8098,3,1,-
2022,2222,Centro Universitário do Rio São Francisco Unirios,FASETE,Centro Universitário,Privada com fins lucrativos,BA,8,1.0,3.038304767,,,,,3.038304767,4,2,-
2022,2229,FACULDADE UNIS SÃO LOURENÇO,FVH,Faculdade,Privada com fins lucrativos,MG,3,1.0,2.6983,0.0,0.0,0.0,0.0,2.6983,3,1,-
2022,2237,FACULDADE TEOLÓGICA BATISTA EQUATORIAL,FATEBE,Faculdade,Privada sem fins lucrativos,PA,1,1.0,2.632463409,,,,,2.632463409,3,2,-
2022,2240,FACULDADE DE FORTALEZA,FAFOR,Faculdade,Privada com fins lucrativos,CE,2,1.0,1.4186,0.0,0.0,0.0,0.0,1.4186,2,1,-
2022,2241,CENTRO UNIVERSITÁRIO DO SUDESTE MINEIRO,FACSUM,Centro Universitário,Privada com fins lucrativos,MG,8,1.0,2.1046,0.0,0.0,0.0,0.0,2.1046,3,1,-
2022,2242,FACULDADE DO RECIFE,FAREC,Faculdade,Privada com fins lucrativos,PE,5,1.0,2.108406576,,,,,2.108406576,3,2,-
2022,2244,FACULDADE DA CIDADE DE MACEIÓ,FACIMA,Faculdade,Privada com fins lucrativos,AL,9,1.0,1.8727,0.0,0.0,0.0,0.0,1.8727,2,1,-
2022,2248,FACULDADE SERGIPANA,FASER,Faculdade,Privada com fins lucrativos,SE,1,1.0,1.6757,0.0,0.0,0.0,0.0,1.6757,2,1,-
2022,2257,FACULDADE DIADEMA,FAD,Faculdade,Privada sem fins lucrativos,SP,1,1.0,2.0275,0.0,0.0,0.0,0.0,2.0275,3,1,-
2022,2264,FACULDADE DE COMUNICAÇÃO ANHANGUERA UNIDADE GUARAPARI,PIT GUARAPARI,Faculdade,Privada com fins lucrativos,ES,1,1.0,3.218,0.0,0.0,0.0,0.0,3.218,4,1,-
2022,2266,FACULDADE UNIÃO DE GOYAZES FORMOSA,CAMBURY,Faculdade,Privada com fins lucrativos,GO,1,1.0,1.5259,0.0,0.0,0.0,0.0,1.5259,2,1,-
2022,2270,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,FAEX,Faculdade,Privada sem fins lucrativos,MG,9,1.0,2.1731,0.0,0.0,0.0,0.0,2.1731,3,1,-
2022,2271,FACULDADE ANHANGUERA DE IPATINGA,FPI,Faculdade,Privada com fins lucrativos,MG,17,1.0,2.746204515,,,,,2.746204515,3,2,-
2022,2275,FACULDADE SANTO AGOSTINHO,FASA,Faculdade,Privada com fins lucrativos,,10,1.0,2.336,0.0,0.0,0.0,0.0,2.336,3,1,-
2022,2279,Centro Universitário Metrocamp Wyden,UniMetrocamp Wyden,Centro Universitário,Privada com fins lucrativos,SP,23,1.0,2.5823,0.0,0.0,0.0,0.0,2.5823,3,1,-
